date,steps,caloriesburned,caloriesconsumed,minutesofsleep
5-9-15,18925,3631,2248,384
5-10-15,14228,3204,1719,454
5-11-15,6756,2673,962,387
5-12-15,5020,2495,736,311
5-13-15,7790,2760,1094,407
5-14-15,5614,2687,983,405
5-15-15,8169,2793,1092,381
5-16-15,19971,4061,2700,269
5-17-15,8520,3349,1766,452
5-18-15,11998,2961,1371,269
5-19-15,12425,2911,1351,167
5-20-15,6008,2569,939,368
5-21-15,16291,3228,1766,386
5-22-15,6111,2529,882,351
5-23-15,17928,4197,2880,314
5-24-15,13893,3899,2502,432
5-25-15,5109,2519,847,224
5-26-15,4430,2357,644,0
5-27-15,7498,3209,1676,389
5-28-15,8490,2811,1148,381
5-29-15,5650,2558,890,417
5-30-15,21479,4170,2794,464
5-31-15,18995,3533,2092,328
6-1-15,16836,3354,1862,426
6-2-15,15944,3369,1827,430
6-3-15,14273,3168,1592,376
6-4-15,16060,3470,1939,312
6-5-15,13594,3134,1583,388
6-6-15,15480,3436,1927,409
6-7-15,19440,3634,2155,426
6-8-15,13926,3267,1785,430
6-9-15,11338,3072,1494,376
6-10-15,7140,2750,1081,312
6-11-15,15449,3187,1676,388
6-12-15,11920,3207,1777,409
6-13-15,26444,4083,2818,54
6-14-15,12335,2789,1209,347
6-15-15,14137,3234,1756,290
6-16-15,11568,2952,1352,379
6-17-15,16813,3352,1809,394
6-18-15,15217,3425,1974,421
6-19-15,13158,3090,1511,169
6-20-15,19311,3699,2348,0
6-21-15,16186,3385,1921,412
6-22-15,12713,3088,1533,379
6-23-15,9132,2823,1236,373
6-24-15,20239,3678,2292,360
6-25-15,11199,3003,1419,358
6-26-15,20269,3534,2078,415
6-27-15,11655,3022,1491,464
6-28-15,12314,3237,1750,388
6-29-15,12586,3142,1579,449
6-30-15,12445,2945,1393,357
7-1-15,14193,3352,1782,379
7-2-15,11560,3063,1419,332
7-3-15,15695,3465,1947,413
7-4-15,9747,2894,1337,438
7-5-15,15731,3515,2111,277
7-6-15,8391,2699,1082,291
7-7-15,8326,2740,1106,370
7-8-15,14241,3244,1662,455
7-9-15,7298,2994,1322,311
7-10-15,10644,3134,1606,550
7-11-15,12371,3191,1589,368
7-12-15,7580,2810,1201,250
7-13-15,12168,3259,1725,76
7-14-15,15135,3383,1813,360
7-15-15,14996,3569,2155,248
7-16-15,8704,3017,1392,410
7-17-15,12739,3228,1733,465
7-18-15,13247,3352,1910,406
7-19-15,11660,3237,1703,347
7-20-15,13702,3278,1775,362
7-21-15,11240,3040,1438,418
7-22-15,13262,3071,1495,411
7-23-15,9090,2984,1349,304
7-24-15,15779,3468,2073,343
7-25-15,6174,2706,1046,368
7-26-15,11614,3090,1573,380
7-27-15,13460,3091,1527,322
7-28-15,10000,2980,1370,0
7-29-15,10680,3138,1628,472
7-30-15,14105,3246,1727,292
7-31-15,9194,2654,914,304
8-1-15,17497,3453,1673,419
8-2-15,5765,2651,1039,172
8-3-15,15362,3420,1883,303
8-4-15,9870,2863,1225,368
8-5-15,14502,3326,1838,389
8-6-15,14652,3472,2079,415
8-7-15,7628,2849,1297,0
8-8-15,13877,3168,1638,529
8-9-15,11433,3109,1564,294
8-10-15,13655,3139,1617,303
8-11-15,13535,2857,347,553
8-12-15,1883,2055,287,402
8-13-15,11354,3218,1718,192
8-14-15,11532,3010,1542,487
8-15-15,6129,2813,1159,544
8-16-15,6238,2706,1084,77
8-17-15,15572,3683,2362,80
8-18-15,10886,3106,1578,0
8-19-15,12213,3217,1834,263
8-20-15,12929,3421,2070,219
8-21-15,16365,3382,1950,551
8-22-15,17252,3498,2164,429
8-23-15,14537,3288,1937,263
8-24-15,13404,3215,1648,445
8-25-15,10940,3063,1530,212
8-26-15,10032,2928,1328,324
8-27-15,14008,3229,1828,465
8-28-15,12149,3356,1861,440
8-29-15,19977,3890,2540,518
8-30-15,11924,2961,0,375
8-31-15,10757,3136,1532,326
9-1-15,12229,3681,2200,397
9-2-15,10330,3009,1369,497
9-3-15,11689,3094,1530,0
9-4-15,15627,3518,2063,234
9-5-15,10681,2885,1356,52
9-6-15,7907,2745,1217,0
9-7-15,9487,2829,1197,125
9-8-15,8253,2742,763,316
9-9-15,22238,4351,3181,0
9-10-15,10650,2967,1421,452
9-11-15,12038,3054,1530,479
9-12-15,11480,2937,1481,382
9-13-15,9199,2977,1564,0
9-14-15,9564,2947,1355,153
9-15-15,9019,2821,1247,393
9-16-15,10239,3041,1464,226
9-17-15,7739,2796,1140,249
9-18-15,12620,2978,1419,525
9-19-15,14226,3160,1736,414
9-20-15,3858,2325,700,0
9-21-15,17603,3458,1912,426
9-22-15,10699,2988,1471,423
9-23-15,7261,2561,869,407
9-24-15,10608,3159,1600,393
9-25-15,12271,3193,1799,396
9-26-15,9998,2934,1431,0
9-27-15,5757,2589,1033,0
9-28-15,8995,2874,1290,395
9-29-15,7553,2757,1146,420
9-30-15,6494,2714,1092,0
10-1-15,7951,2712,1126,434
10-2-15,7424,2809,1206,359
10-3-15,6813,2322,667,265
10-4-15,3991,2319,645,411
10-5-15,9725,2859,1378,309
10-6-15,8936,2978,1383,477
10-7-15,6565,2678,1009,403
10-8-15,7865,2767,1178,431
10-9-15,8718,2549,258,0
10-10-15,12364,2918,1423,108
10-11-15,5216,2509,878,78
10-12-15,6580,2687,1059,397
10-13-15,7015,2698,1036,387
10-14-15,8103,2621,1017,0
10-15-15,6962,2698,1075,407
10-16-15,16478,3295,1833,92
10-17-15,11603,2871,1384,0
10-18-15,11429,2899,1390,0
10-19-15,6293,2581,956,0
10-20-15,7269,2672,791,0
10-21-15,4471,2406,686,0
10-22-15,17913,3410,1851,326
10-23-15,5431,2511,808,444
10-24-15,11672,2907,1401,142
10-25-15,14777,3435,1943,347
10-26-15,9171,2931,1414,0
10-27-15,8807,2867,1275,0
10-28-15,5623,2470,817,136
10-29-15,12910,3109,1519,209
10-30-15,8805,2942,1264,365
10-31-15,7107,2736,1162,151
11-1-15,3862,2395,661,226
